date,total_sales,day_of_week,month,day_of_month,week_of_year,lag_1,lag_7,rolling_mean_7,rolling_std_7,lag_14,rolling_mean_14,rolling_mean_30
2024-03-26,11.620000000000001,1,3,26,13,,,,,,,
2024-03-27,18.759999999999998,2,3,27,13,11.620000000000001,,,,,,
2024-03-28,2.16,3,3,28,13,18.759999999999998,,,,,,
2024-04-01,12.06,0,4,1,14,2.16,,,,,,
2024-04-02,0.0,1,4,2,14,12.06,,,,,,
2024-04-09,159.59,1,4,9,15,0.0,,,,,,
2024-04-10,49.76,2,4,10,15,159.59,,36.278571428571425,56.81718297269217,,,
2024-04-22,52.96,0,4,22,17,49.76,11.620000000000001,42.18428571428571,55.969093214363376,,,
2024-04-23,8.67,1,4,23,17,52.96,18.759999999999998,40.74285714285714,56.796717250878075,,,
2024-04-24,20.0,2,4,24,17,8.67,2.16,43.29142857142857,55.15336992682963,,,
2024-04-25,30.98,3,4,25,17,20.0,12.06,45.99428571428571,53.81510997763326,,,
2024-04-26,16.94,4,4,26,17,30.98,0.0,48.41428571428571,51.74308129503657,,,
2024-04-30,2457.15,1,4,30,18,16.94,159.59,376.63714285714286,917.5692592335886,,,
2024-05-01,5919.38,2,5,1,18,2457.15,49.76,1215.1542857142856,2263.661222988525,,625.7164285714287,
2024-05-02,5984.84,3,5,2,18,5919.38,52.96,2062.5657142857144,2802.3036994935505,11.620000000000001,1052.375,
2024-05-03,6245.81,4,5,3,18,5984.84,8.67,2953.5857142857144,3023.2726421096354,18.759999999999998,1497.1642857142858,
2024-05-04,6400.62,5,5,4,18,6245.81,20.0,3865.1028571428574,2952.432345342364,2.16,1954.197142857143,
2024-05-05,5821.77,6,5,5,18,6400.62,30.98,4692.358571428572,2471.1240569656325,12.06,2369.1764285714285,
2024-05-06,5705.44,0,5,6,19,5821.77,16.94,5505.001428571429,1365.2106613685248,0.0,2776.7078571428574,
2024-05-07,4026.85,1,5,7,19,5705.44,2457.15,5729.244285714286,788.0715070951603,159.59,3052.940714285715,
2024-05-08,4521.87,2,5,8,19,4026.85,5919.38,5529.599999999999,900.8270636846262,49.76,3372.3771428571426,
2024-05-09,4491.14,3,5,9,19,4521.87,5984.84,5316.214285714285,950.5575438105977,52.96,3689.39,
2024-05-10,7381.43,4,5,10,19,4491.14,6245.81,5478.4457142857145,1199.8675179765628,8.67,4216.015714285714,
2024-05-11,7082.35,5,5,11,19,7381.43,6400.62,5575.835714285714,1309.8220123342094,20.0,4720.469285714285,
2024-05-12,5880.56,6,5,12,19,7082.35,5821.77,5584.234285714287,1311.8486758115705,30.98,5138.296428571428,
2024-05-13,4917.12,0,5,13,20,5880.56,5705.44,5471.617142857142,1333.3700404328158,16.94,5488.309285714286,
2024-05-14,5085.46,1,5,14,20,4917.12,4026.85,5622.847142857144,1195.054088032759,2457.15,5676.045714285714,
2024-05-15,5356.74,2,5,15,20,5085.46,4521.87,5742.114285714286,1105.1406714962752,5919.38,5635.857142857143,
2024-05-16,5374.18,3,5,16,20,5356.74,4491.14,5868.262857142858,982.0947139781425,5984.84,5592.238571428571,
2024-05-17,9703.04,4,5,17,20,5374.18,7381.43,6199.921428571429,1704.5487790265654,6245.81,5839.183571428572,3424.641666666667
2024-05-18,9168.49,5,5,18,20,9703.04,7082.35,6497.941428571429,2034.9007747015467,6400.62,6036.888571428572,3729.870666666667
2024-05-19,7572.25,6,5,19,20,9168.49,5880.56,6739.611428571428,2049.7591457406947,5821.77,6161.922857142858,3981.6536666666666
2024-05-20,2201.82,0,5,20,21,7572.25,4917.12,6351.711428571429,2627.6062143227664,5705.44,5911.664285714286,4054.9756666666667
2024-05-21,2663.13,1,5,21,21,2201.82,5085.46,6005.664285714286,2960.571071166604,4026.85,5814.255714285714,4143.344666666667
2024-05-22,4280.63,2,5,22,21,2663.13,5356.74,5851.934285714286,3027.0749515159414,4521.87,5797.024285714286,4286.032333333334
2024-05-23,4236.96,3,5,23,21,4280.63,5374.18,5689.4742857142855,3086.9142250628274,4491.14,5778.868571428572,4421.944666666666
2024-05-24,5684.36,4,5,24,21,4236.96,9703.04,5115.377142857143,2541.6018670759213,7381.43,5657.649285714286,4609.764666666667
2024-05-25,6538.4,5,5,25,21,5684.36,9168.49,4739.650000000001,1973.4704761916248,7082.35,5618.795714285714,4825.946
2024-05-26,4735.93,6,5,26,21,6538.4,7572.25,4334.461428571429,1538.1081968815736,5880.56,5537.036428571429,4983.521333333334
2024-05-27,4317.65,0,5,27,22,4735.93,2201.82,4636.722857142857,1225.238093511002,4917.12,5494.217142857143,5126.776333333333
